絪腹,计,綟计,め计,╧计,计,羆计,ネ计,计,挡盉癸计,瞒盉癸计,綞计,綞计
"1","狥ń","31","1704","2769","2827","5596","4","4","0","0","16","25"
"2","﹁ń","42","3482","5479","5726","11205","5","9","7","1","50","65"
"3","玭ń","34","1915","2992","3095","6087","4","3","0","1","16","33"
"4","ń","28","1379","2326","2213","4539","6","5","0","0","18","19"
"5","ń","25","1389","2266","2262","4528","0","0","1","0","32","13"
"6","ń","16","729","1264","1146","2410","2","1","1","0","4","8"
"7","痌‵ń","21","995","1594","1581","3175","1","1","1","0","16","13"
"8","藉眊ń","25","1555","2673","2616","5289","3","2","2","0","13","37"
"9","穝カń","30","1492","2217","2331","4548","3","2","2","1","11","31"
"10","ń","24","1105","1907","1881","3788","1","2","3","1","22","28"
"11","タ竡ń","20","906","1508","1482","2990","5","2","0","0","12","14"
"12","霉ń","18","626","1235","1085","2320","3","0","0","0","6","13"
"13","茫狶ń","23","1104","1847","1870","3717","2","2","3","0","9","20"
"14","穝打ń","45","3060","4726","4660","9386","10","2","4","0","35","51"
"15","匪打ń","13","523","873","868","1741","3","2","0","0","3","5"
"16","浆眊ń","13","588","912","976","1888","1","1","1","1","5","4"
"17","╖‵ń","28","1829","2820","2913","2733","3","0","3","0","20","22"
"18","ń","20","644","1045","1041","2086","1","1","2","0","3","7"
"19","瑅ń","10","407","626","630","1256","0","1","0","0","2","4"
"20","玡ń","21","887","1295","1302","2597","0","2","1","0","7","15"
"21","ゆń","16","705","1085","1140","2225","2","1","0","0","11","4"
"22","﹁堕ń","14","506","885","850","1735","0","1","0","0","3","6"
"23","﹛垃ń","11","704","1153","1267","2420","1","3","0","0","7","5"
"24","ń","21","791","1286","1357","2643","0","2","0","0","5","12"
"25","圭","28","1102","1788","1859","3647","1","0","0","0","10","22"
"26","","25","1719","2823","2746","5569","1","1","5","1","30","21"
"27","絃","11","564","885","932","1817","2","0","0","0","8","11"
"28","打瓾","31","2366","4526","4200","8726","4","0","1","2","33","38"
"29","篯狶","30","1798","2982","2963","5945","2","2","0","0","30","38"
"30","絃","26","1907","3645","3797","7442","3","3","4","1","67","45"
"31","Я","27","748","1489","1593","3082","5","1","2","0","8","5"
"32","狶","13","431","739","808","1547","1","2","0","1","5","4"
"33","﹁","21","669","1273","1341","2614","3","2","0","0","11","10"
"34","狶打","23","952","1950","1712","3662","3","3","0","1","10","19"
"35","独瓾","13","440","856","932","1788","1","2","0","0","5","3"
"36","塌","1","52","165","145","310","0","0","0","0","1","0"
"37","塌","1","81","176","179","355","0","0","0","0","0","0"
